Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: cv14t01,,,,,,,,,,,,,,
"Table 1. Violent victimization, by type of violent crime, 2005, 2013, and 2014",,,,,,,,,,,,,,
"Report title: Criminal Victimization, 2014 NCJ 248973",,,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2014",,,,,,,,,,,,,,
Authors: Jennifer L. Truman and Lynn Langton,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,
Date of release: 8/27/2015,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 1. Violent victimization, by type of violent crime, 2005, 2013, and 2014",,,,,,,,,,,,,,
,,,Number,,,,,,"Rate per 1,000 persons age 12 or older",,,,,
Type of violent crime,,,2005,,2013,,2014a,,2005,,2013,,2014a,
Violent crimeb,,,"6,947,800", †,"6,126,420",,"5,359,570",,28.4, †,23.2,,20.1,
,Rape/sexual assault,,"207,760",,"300,170",,"284,350",,0.8,,1.1,,1.1,
,Robbery,,"769,150",,"645,650",,"664,210",,3.1,,2.4,,2.5,
,Assault,,"5,970,890", †,"5,180,610",,"4,411,010",,24.4, †,19.6, ‡,16.5,
,,Aggravated assault,"1,281,490",,"994,220",,"1,092,090",,5.2, ‡,3.8,,4.1,
,,Simple assault,"4,689,400", †,"4,186,390", †,"3,318,920", ,19.2, †,15.8, †,12.4, 
,Domestic violencec,,"1,242,290",,"1,116,090",,"1,109,880",,5.1, †,4.2,,4.2,
,,Intimate partner violenced,"816,010",,"748,800",,"634,610",,3.3, ‡,2.8,,2.4,
,Stranger violence,,"2,829,600", †,"2,098,170",,"2,166,130",,11.6, †,7.9,,8.1,
,Violent crime involving injury,,"1,759,210", ‡,"1,603,960",,"1,375,950",,7.2, †,6.1,,5.2,
Serious violent crimee,,,"2,258,400",,"1,940,030",,"2,040,650",,9.2,,7.3,,7.7,
,Serious domestic violencec,,"425,270",,"464,730",,"400,030",,1.7,,1.8,,1.5,
,,Serious intimate partner violenced,"311,480",,"360,820",,"265,890",,1.3,,1.4,,1,
,Serious stranger violence,,"1,096,480",,"737,940",,"930,690",,4.5,,2.8,,3.5,
,Serious violent crime involving weapons,,"1,659,030",,"1,174,370",,"1,306,900",,6.8, †,4.4,,4.9,
,Serious violent crime involving injury,,"824,800",,"739,210",,"692,470",,3.4,,2.8,,2.6,
"Note: Detail may not sum to total due to rounding. Total population age 12 or older was 244,505,300 in 2005; 264,411,700 in 2013; and 266,665,160 in 2014. See appendix table 2 for standard errors.",,,,,,,,,,,,,,
†Significant difference from comparison year at the 95% confidence level.,,,,,,,,,,,,,,
‡Significant difference from comparison year at the 90% confidence level.,,,,,,,,,,,,,,
aComparison year.,,,,,,,,,,,,,,
bExcludes homicide because the NCVS is based on interviews with victims and therefore cannot measure murder.,,,,,,,,,,,,,,
cIncludes victimization committed by intimate partners and family members. ,,,,,,,,,,,,,,
"dIncludes victimization committed by current or former spouses, boyfriends, or girlfriends.",,,,,,,,,,,,,,
"eIn the NCVS, serious violent crime includes rape or sexual assault, robbery, and aggravated assault.",,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2005, 2013, and 2014.",,,,,,,,,,,,,,
