Bureau of Justice Statistics,,,,,,,,
Filename: cv14t06,,,,,,,,
"Table 6. Percent of victimizations reported to police, by type of crime, 2005, 2013, and 2014",,,,,,,,
"Report title: Criminal Victimization, 2014 NCJ 248973",,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2014",,,,,,,,
Authors: Jennifer L. Truman and Lynn Langton,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,
Date of release: 8/27/2015,,,,,,,,
,,,,,,,,
"Table 6. Percent of victimizations reported to police, by type of crime, 2005, 2013, and 2014",,,,,,,,
Type of  crime,,,2005,,2013,,2014a,
Violent crimeb,,,45.8,%,45.6,%,46,%
,Rape/sexual assault,,35,,35,,34,
,Robbery,,55.4,,68,,60.9,
,Assault,,45,,43,,45,
,,Aggravated assault,65,,64,,58,
,,Simple assault,39,,39,,40,
,Domestic violencec,,53,,57,,56,
,,Intimate partner violenced,57,,57,,58,
,Stranger violence,,48,,50,,49,
,Violent crime involving injury,,60,,56,,55,
Serious violent crimee,,,59,%,61,%,56,%
,Serious domestic violencec,,61,,65,,60,
,,Serious intimate partner violenced,57,,60,,57,
,Serious stranger violence,,53, ‡,62,,65,
,Serious violent crime involving weapons,,64,,66,,58,
,Serious violent crime involving injury,,65,,66,,61,
Property crime,,,38.7,%,36,%,37,%
,Burglary,,55.3, ‡,57.3,,60,
,Motor vehicle theft,,82,,76, ‡,83,
,Theft,,32, ‡,29,,29,
Note: See appendix table 7 for standard errors. ,,,,,,,,
‡Significant difference from comparison year at the 90% confidence level. aComparison year.,,,,,,,,
bExcludes homicide because the NCVS is based on interviews with victims and therefore cannot measure murder.,,,,,,,,
cIncludes victimization committed by intimate partners and family members. ,,,,,,,,
"dIncludes victimization committed by current or former spouses, boyfriends, or girlfriends.",,,,,,,,
"eIn the NCVS, serious violent crime includes rape or sexual assault, robbery, and aggravated assault.",,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2005, 2013, and 2014.",,,,,,,,
