Bureau of Justice Statistics,,,,,,,,,,,
Filename:cv16ret04.csv,,,,,,,,,,,
"Table 4. Percent and rate of victimizations reported to police, by type of crime, 2015 and 2016",,,,,,,,,,,
"Report title: Criminal Victimization, 2016: Revised    NCJ 252121",,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 2015 Public-Use File and 2016 revised Public-Use File",,,,,,,,,,,
"Author(s): Rachel E. Morgan, Ph.D., and Grace Kena, BJS Statisticians",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,
Date of version: 10/24/2018,,,,,,,,,,,
,,,,,,,,,,,
"Table 4. Percent and rate of victimizations reported to police, by type of crime, 2015 and 2016",,,,,,,,,,,
,,,Percent reported,,,,,"Victimization rate reported per 1,000/a",,,
Type of crime,,,2015*,,2016,,,2015*,,2016,
Violent crime/b,,,46.5,%,43.9,%,,8.6,,8.6,
,Rape or sexual assault/c,,32.5,,23.2,,,0.5,,0.3, †
,Robbery,,61.9,,57,,,1.3,,1,
,Assault,,45.8,,43.9,,,6.8,,7.4,
,,Aggravated assault,61.9,,59.8,,,1.9,,2.3,
,,Simple assault,41.7,,39.3,,,4.9,,5.1,
,Domestic violence/d,,57.7,,52.2,,,2.3,,2,
,,Intimate partner violence/e,54.1,,49,,,1.6,,1.1, ‡
,Stranger violence,,42.1,,43.6,,,2.8,,3.3,
,Violent crime involving injury,,57,,48, ‡,,2.8,,2.2,
Serious violent crime/f,,,54.9,%,53,%,,3.7,,3.5,
,Serious domestic violence/d,,60.8,,52.5,,,1,,0.7,
,,Serious intimate partner violence/e,49.6,,47.1,,,0.6,,0.5,
,Serious stranger violence,,54.3,,55.7,,,1.4,,1.6,
,Serious violent crime involving a weapon,,56.3,,60.8,,,2,,2.7,
,Serious violent crime involving injury,,59,,53.4,,,1.4,,1.3,
Property crime,,,34.6,%,35.2,%,,38.3,,41.7, ‡
,Household burglary,,50.8,,49,,,11.2,,11.6,
,Motor vehicle theft,,69,,73.2,,,3,,3.4,
,Other theft/g,,28.6,,29.6,,,24.1,,26.7,
"Note: Violent crime classifications include rape or sexual assault, robbery, aggravated assault, and simple assault. Other violent crime categories in this table, including domestic violence and violent crime involving injury, are not mutually exclusive from these classifications. See appendix table 6 for standard errors.",,,,,,,,,,,
*Comparison year.,,,,,,,,,,,
†Significant difference from comparison year at the 95% confidence level.,,,,,,,,,,,
‡Significant difference from comparison year at the 90% confidence level.,,,,,,,,,,,
"a/Rates are per 1,000 persons age 12 or older for violent crime or per 1,000 households for property crime.",,,,,,,,,,,
b/Excludes homicide because the National Crime Victimization Survey (NCVS) is based on interviews with victims and cannot measure murder.,,,,,,,,,,,
c/See Methodology for details on the measurement of rape and sexual assault in the NCVS.,,,,,,,,,,,
d/Includes victimization committed by intimate partners and family members. ,,,,,,,,,,,
"e/Includes victimization committed by current or former spouses, boyfriends, or girlfriends.",,,,,,,,,,,
"f/In the NCVS, serious violent crime is a subset of violent crime and includes rape or sexual assault, robbery, and aggravated assault.",,,,,,,,,,,
g/The taking or attempted unlawful taking of property or cash without personal contact with the victim.,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2015 Public-Use File and 2016 revised Public-Use File.",,,,,,,,,,,
